index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
234,seq_0232,2022-07-31 14:32:14,300.15,6.28,1,15.713688,17.470081
235,seq_0233,2022-07-31 14:33:13,300.15,6.21,1,14.025041,16.438736
236,seq_0234,2022-07-31 14:34:13,300.15,6.13,1,14.785134,17.532581
237,seq_0235,2022-07-31 14:35:14,300.15,6.06,1,13.657951,17.935158
238,seq_0236,2022-07-31 14:36:13,300.15,5.98,1,12.738355,17.958633
239,seq_0237,2022-07-31 14:37:14,300.15,5.91,1,12.926232,19.511595
240,seq_0238,2022-07-31 14:38:13,300.15,5.83,1,12.29803,18.995531
241,seq_0239,2022-07-31 14:39:14,300.15,5.76,1,11.123937,19.302208
242,seq_0240,2022-07-31 14:40:14,300.15,5.68,1,11.475433,20.582674
243,seq_0241,2022-07-31 14:41:14,300.15,5.61,1,12.223268,21.54778
244,seq_0242,2022-07-31 14:42:14,300.15,5.53,1,11.259398,22.413532
245,seq_0243,2022-07-31 14:43:14,300.15,5.46,1,10.8566885,22.369408
246,seq_0244,2022-07-31 14:44:14,300.15,5.38,1,11.297969,23.063515
247,seq_0245,2022-07-31 14:45:14,300.15,5.31,1,10.806828,23.439846
248,seq_0246,2022-07-31 14:46:14,300.15,5.23,1,10.553485,23.701351
249,seq_0247,2022-07-31 14:47:13,300.15,5.16,1,10.731777,23.949272
250,seq_0248,2022-07-31 14:48:14,300.15,5.08,1,10.71184,23.992006
251,seq_0249,2022-07-31 14:49:14,300.15,5.01,1,9.274128,24.081038
252,seq_0250,2022-07-31 14:50:14,300.15,4.93,1,9.248834,24.31818
253,seq_0251,2022-07-31 14:51:14,300.15,4.86,1,8.9506645,25.985668
254,seq_0252,2022-07-31 14:52:13,300.15,4.78,1,7.9472814,25.58603
255,seq_0253,2022-07-31 14:53:14,300.15,4.71,1,7.469713,24.769606
256,seq_0254,2022-07-31 14:54:14,300.15,4.63,1,6.4637136,24.683365
257,seq_0255,2022-07-31 14:55:14,300.15,4.56,1,5.8294044,24.261845
258,seq_0256,2022-07-31 14:56:13,300.15,4.48,1,5.7769685,25.390308
259,seq_0257,2022-07-31 14:57:14,300.15,4.41,1,4.6449924,25.659563
260,seq_0258,2022-07-31 14:58:14,300.15,4.33,1,4.9131045,27.503094
261,seq_0259,2022-07-31 14:59:13,300.15,4.26,1,4.5414515,27.104263
262,seq_0260,2022-07-31 15:00:14,300.15,4.18,1,4.117349,27.581291
